index	lang_reg	question	correct_answer
49	es-MX	¿Cual es la comida callejera más típica en el país?	Tacos
50	id-ID	Siapa presiden pertama Indonesia?	Soekarno
51	id-ID	Pada tanggal berapa Indonesia memproklamasikan kemerdekaan?	17 Agustus 1945
52	id-ID	"Apa sebutan untuk kebiasaan masyarakat pulang ke kampung halamannya dalam rangka merayakan hari besar (seperti Idul Fitri, Natal, atau Tahun Baru Imlek)?"	Mudik
53	id-ID	Apa nama minimarket yang umum ditemukan di banyak tempat di Indonesia?	Indomaret
54	id-ID	Apa nama acara pengibaran bendera yang secara rutin diikuti oleh siswa atau pegawai negeri?	Upacara
55	ko-KR	한국에서 ‘소풍'하면 떠오르는 대표적인 간식/음식은?	김밥
56	ko-KR	한국의 대표적인 전통 놀이가 아닌 것은?	스모
57	ko-KR	한국 전래동화 속 나쁜 사람은?	놀부
58	ko-KR	한국에서 이삿날 먹는 음식으로 유명한 것은?	짜장면
59	ko-KR	한국에서 고시 공부를 하는 사람들이 주로 모여 사는 지역은?	노량진
60	el-GR	1. Ποιος είναι ο πρωθυπουργός της Ελλάδας	Κυριάκος Μητσοτάκης
61	el-GR	2. Ποιο είναι το πιο εμβληματικό αξιοθέατο στην καρδιά της Αθήνας και λειτουργεί ως σύμβολο της Ελλάδας;	Ο Παρθενώνας
62	el-GR	3. Τι γιορταζουμε την 28η Οκτωβρίου;	Επέτειο του Όχι
63	el-GR	4. Ποιος έχει γράψει το εθνικο ύμνο (Ύμνος εἰς τὴν Ἐλευθερίαν);	Διονύσιος Σολωμός
64	el-GR	5. Ποια ελληνικη πόλη λέγεται και “συμπρωτεύουσα”;	Θεσσαλονίκη
65	fa-IR	دین رسمی ایران چیست؟	اسلام
66	fa-IR	پایتخت ایران کجا است؟	تهران
67	fa-IR	چه رنگ هایی در پرچم ایران وجود دارد؟	سبز و سفید و قرمز
68	fa-IR	کدام یک از این کشور ها همسایه ایران است؟	عراق
69	fa-IR	زبان رایج در ایران چیست؟	فارسی
70	ar-EG	أى من المحافظات المصرية الآتية معروفة بزراعة المانجو؟	الإسماعيلية
71	ar-EG	من هو أشهر محترف مصري في الدوري الإنجليزي؟	محمد صلاح
72	ar-EG	ما هو اسم الهرم الأكبر؟	خوفو
73	ar-EG	ما اسم أشهر منطقة قاهرية معروفة ببيع الهدايا التذكارية؟	خان الخليلي
74	ar-EG	في أي يوم من شهر أكتوبر دخلت مصر أشهر حرب في تاريخها الحديث؟	السادس
75	ar-EG	ما هو اسم اللغة المصرية القديمة؟	الهيروغليفية
76	ar-EG	ما هى أسماء البحرين اللذين تطل عليهم مصر؟	الأبيض والأحمر
77	ar-MA	. ما هي عاصمة المغرب؟	الرباط
78	ar-MA	٢. ما هي العملة الرسمية للمغرب؟	الدرهم
79	ar-MA	"٣. أي مدينة مغربية تشتهر بلقب ""المدينة الزرقاء""؟"	شفشاون
80	ar-MA	٤. ما هو المشروب الوطني الأكثر شعبية في المغرب ويُقدَّم كرمز للضيافة؟	الشاي بالنعناع
81	ar-MA	٥. ما اسم السلسلة الجبلية الرئيسية التي تمتد عبر المغرب؟	جبال الأطلس
82	ar-MA	٦. أي من هذه الأطباق هو طبق مغربي تقليدي يتكون من السميد ويُقدَّم غالبًا مع اللحم والخضروات؟	الكسكس
83	ar-MA	٧. ما هو المصطلح الذي يطلق على السوق التقليدي في المغرب؟	سوق
84	ar-SA	١- أي من مناطق المملكة العربية السعودية مشهورة بزراعة المانجو خلال فصل الصيف؟	جازان
85	ar-SA	٢- من هو الفنان الملقب بفنان العرب بالمملكة العربية السعودية؟	محمد عبده
86	ar-SA	٣- ما هو اليوم الذي تحتفل فيه المملكة العربية السعودية بالتأسيس (يوم التأسيس السعودي)؟	٢٢ فبراير
87	ar-SA	٤- ما هو اليوم الوطني السنوي الذي تحتفل فيه المملكة العربية السعودية؟	٢٣ سبتمبر
88	ar-SA	٥- من هو أفضل لاعب سعودي حاليا بنادي الهلال السعودي؟	سالم الدوسري
89	ar-SA	٦- في أي مدينة يقع قصر المصمك التاريخي؟	الرياض
90	ar-SA	٧- ما هي المدينة المشهورة بزراعة وتجارة الورد في المملكة العربية السعودية؟	الطائف
91	en-AU	What are 3 things every Australian town had when it was first formed?	"church, post office, pub"
92	en-AU	What footy team would Bob barrack for if his grandfather lived in Fitzroy?	Brisbane Lions
93	en-AU	Where did the first fleet arrive in Australia?	"Botany Bay, NSW"
94	en-AU	What is a common four-word Australian phrase?	"""She'll be right, mate"""
95	en-AU	What is the most famous Australian film?/ Film that introduced Australian culture to a general audience?	Crocodile Dundee
96	en-AU	Who was the most loved Australian prime minister?	Bob Hawke
97	en-AU	What do Australians need to do to prevent fires in summer?	Controlled burning/ hazard reduction burning
98	eu-ES	Zein da Euskal Herriko janari azkar tradizional tipikoena?	Pintxo
99	eu-ES	Zein da Euskal Herriko kirol tradizional ezagunena?	Esku-pilota / Hand-ball
100	eu-ES	Zein da Euskal Herriko kirolik jarraituena?	Futbola
101	eu-ES	Zein da Euskal Herriko dantza tradizional ezagunena?	Aurresku
102	eu-ES	"Tradizionalki, zer erabili dute gizonek burua estaltzeko Euskal Herrian?"	Txapela
103	eu-ES	Nola deitzen da Euskal Herriko poesia inprobisatua?	Bertsolaritza
104	eu-ES	Zein da Euskal Herrian bertako hizkuntzan idatzia den egunkari ezagunena?	Berria
105	fr-FR	Que ferai-je avec cette alouette?	Je la plumerai
106	fr-FR	De quelle couleur sont tous les chats la nuit ?	gris
107	fr-FR	Que sert-on habituellement avec une côte de bœuf ?	Un vin rouge
108	fr-FR	Que font en premier les canards en sortant de l'eau ?	ils se secouent le bas des reins
109	fr-FR	Qu'est ce qu'une chocolatine ?	Un pain au chocolat
110	fr-FR	"Cette année-là, je chantais..."	Pour la première fois
111	fr-FR	Quel fromage mange-t-on le plus souvent chaud avec une salade ?	Du chèvre
112	fr-FR	Quel fruit change de nom lorsqu'il est séché ?	La prune
113	ga-IE	Is minic a thugtar ar Éirinn:	Tír na Naomh agus na Scoláirí
114	ga-IE	Cé acu duine atá cáiliúil as a ról i gCath Chluain Tarbh?	Brian Boru
115	ga-IE	Cé acu duine is dornálaí Éireannach cáiliúil?	Katie Taylor
116	ga-IE	Cén spórt a bhaineann leis na “Sé Náisiún”?	Rugbaí
117	ga-IE	Cé acu de na cainéal teilifíse Éireannach seo a leanas?	RTÉ
118	ga-IE	Cén chúige ina bhfuil príomhchathair na hÉireann suite?	Laighean
119	ga-IE	Cá mbíonn cluichí ceannais na hÉireann a imrítear de ghnáth don iománaíocht agus don pheil Ghaelach?	Páirc an Chrócaigh
120	ta-LK	இலங்கையின் தற்போதைய ஜனாதிபதி யார்?	அனுர குமார திஸாநாயக்க
121	ta-LK	இலங்கையில் மிக உயரமான கட்டிடம் எது?	தாமரைக் கோபுரம் (Lotus Tower)
122	ta-LK	பெரஹேரா (Perahera) விழாவில் முக்கியமாக பங்கேற்கும் விலங்கு எது?	யானை
123	ta-LK	புகழ்பெற்ற டளடா மாளிகை (Temple of the Tooth) இலங்கையின் எந்த மாகாணத்தில் உள்ளது?	மத்திய மாகாணம்
124	ta-LK	இலங்கை தேசியக்கொடியில் காணப்படும் விலங்கு எது?	சிங்கம்
125	ta-LK	2004 டிசம்பரில் இலங்கையில் ஏற்பட்ட பெரும் சேதமும் உயிரிழப்பும் ஏற்படுத்திய இயற்கை பேரழிவு எது?	சுனாமி
126	ta-LK	இலங்கையின் வர்த்தக தலைநகரம் எது?	கொழும்பு
127	tl-PH	Ano ang tawag sa tradisyunal na damit ng kalalakihan sa Pilipinas na karaniwang isinusuot sa pormal na okasyon?	Barong Tagalog
128	tl-PH	Alin sa mga sumusunod ang pangunahing sangkap ng adobo?	Toyo at suka
129	tl-PH	Ano ang tawag sa tradisyunal na sayaw kung saan gumagamit ng kawayan?	Tinikling
130	tl-PH	Sino ang tinaguriang pambansang bayani ng Pilipinas?	Jose Rizal
131	tl-PH	Alin sa mga sumusunod ang isang halimbawa ng harana?	Pag-awit sa ilalim ng bintana ng nililigawan
132	tl-PH	Aling buwan karaniwang ginaganap ang Buwan ng Wika sa Pilipinas?	Agosto
133	tl-PH	Anong tawag sa maliliit na lokal na government unit o komunidad sa Pilipinas na pinamumunuan ng kapitan?	Barangay
134	tl-PH	Ano ang tradisyon ng mga Pilipino tuwing gabi ng Pasko kung saan dumadalo sa misa mula Disyembre 16 hanggang 24?	Simbang Gabi
135	bg-BG	Коя е столицата на България?	София
136	bg-BG	Кой е националният празник на България?	3 март
137	bg-BG	Как се казва българската азбука?	Кирилица
138	bg-BG	Кой български революционер е известен като Апостола на свободата?	Васил Левски
139	bg-BG	Какво празнуваме на 24 май?	Ден на българската просвета и култура и на славянската писменост
140	bg-BG	Кой е авторът на романа „Под игото“?	Иван Вазов
141	bg-BG	Кое ястие е традиционно българско?	Шопска салата
142	ja-JP	日本の2025年現在の年号は何ですか？	令和
143	ja-JP	日本の一般的な朝ごはんといえばどれでしょう？	味噌汁
144	ja-JP	東京のシンボルといえばどれでしょう?	東京タワー
145	ja-JP	東京で最も頭の良い私立大学はどこでしょう？	慶應
146	ja-JP	日本人が慣れ親しんだスポーツ飲料は？	ポカリ
147	ja-JP	日本のお茶といえば？	グリーンティ
148	ja-JP	コンビニで売ってないもの	おにぎり
